Site,Date,Parameter,DL,RDC,ResultRaw,ResultCalc
TL,2015-04-08,vanadium_total,NA,DET,0.5,0.5
TL,2015-04-08,zinc_total,NA,DET,6.9,6.9
TL,2016-03-11,total_hardness,NA,DET,249,249
TL,2016-03-11,ph,NA,DET,7.35,7.35
TL,2016-03-11,ammonia,NA,DET,0.048,0.048
TL,2016-03-11,nitrogen_dissolved,NA,DET,0.76,0.76
TL,2016-03-11,nitrogen_total,NA,DET,0.76,0.76
TL,2016-03-11,organic_carbon_dissolved,NA,DET,20.1,20.1
TL,2016-03-11,phosphorus_dissolved,NA,DET,0.004,0.004
TL,2016-03-11,phosphorus_total,NA,DET,0.008,0.008
TL,2016-03-11,alkalinity_total,NA,DET,208,208
TL,2016-03-11,specific_conductance,NA,DET,451,451
TL,2016-03-11,total_dissolved_solids,NA,DET,280,280
TL,2016-03-11,total_suspended_solids,3,BDL,3,1.5
TL,2016-03-11,calcium,NA,DET,76.1,76.1
TL,2016-03-11,chloride,NA,DET,3.4,3.4
TL,2016-03-11,fluoride,0.1,BDL,0.1,0.05
TL,2016-03-11,magnesium,NA,DET,14.4,14.4
TL,2016-03-11,nitrate,NA,DET,0.42,0.42
TL,2016-03-11,nitrite,0.01,BDL,0.01,0.005
TL,2016-03-11,potassium,NA,DET,0.9,0.9
TL,2016-03-11,sodium,NA,DET,9.6,9.6
TL,2016-03-11,sulfate,NA,DET,32,32
TL,2016-03-11,chlorophyll_a,NA,DET,0.161,0.161
TL,2016-03-11,aluminum_dissolved,NA,DET,2.7,2.7
TL,2016-03-11,antimony_dissolved,0.1,BDL,0.1,0.05
TL,2016-03-11,arsenic_dissolved,NA,DET,0.3,0.3
TL,2016-03-11,barium_dissolved,NA,DET,63.6,63.6
TL,2016-03-11,beryllium_dissolved,0.1,BDL,0.1,0.05
TL,2016-03-11,cadmium_dissolved,0.05,BDL,0.05,0.025
TL,2016-03-11,cesium_dissolved,0.1,BDL,0.1,0.05
TL,2016-03-11,chromium_dissolved,0.1,BDL,0.1,0.05
TL,2016-03-11,cobalt_dissolved,NA,DET,0.3,0.3
TL,2016-03-11,copper_dissolved,NA,DET,0.7,0.7
TL,2016-03-11,iron_dissolved,NA,DET,127,127
TL,2016-03-11,lead_dissolved,0.1,BDL,0.1,0.05
TL,2016-03-11,lithium_dissolved,NA,DET,6.9,6.9
TL,2016-03-11,manganese_dissolved,NA,DET,217,217
