Site,Date,Parameter,DL,RDC,ResultRaw,ResultCalc,ResultCalcLog
TL,2014-08-27,rubidium_total,NA,DET,0.7,0.7,-0.356674944
TL,2014-08-27,selenium_total,0.5,BDL,0.5,0.25,-1.386294361
TL,2014-08-27,silver_total,0.1,BDL,0.1,0.05,-2.995732274
TL,2014-08-27,strontium_total,NA,DET,102,102,4.624972813
TL,2014-08-27,thallium_total,0.1,BDL,0.1,0.05,-2.995732274
TL,2014-08-27,titanium_total,NA,DET,0.5,0.5,-0.693147181
TL,2014-08-27,uranium_total,NA,DET,0.2,0.2,-1.609437912
TL,2014-08-27,vanadium_total,NA,DET,0.2,0.2,-1.609437912
TL,2014-08-27,zinc_total,5,BDL,5,2.5,0.916290732
TL,2015-04-08,turbidity,NA,DET,8.78,8.78,2.172476408
TL,2015-04-08,ph,NA,DET,7.3,7.3,1.987874348
TL,2015-04-08,nitrogen_dissolved,NA,DET,0.8,0.8,-0.223143551
TL,2015-04-08,nitrogen_total,NA,DET,0.95,0.95,-0.051293294
TL,2015-04-08,organic_carbon_dissolved,NA,DET,18.8,18.8,2.93385687
TL,2015-04-08,organic_carbon_total,NA,DET,20.9,20.9,3.039749159
TL,2015-04-08,phosphorus_dissolved,NA,DET,0.003,0.003,-5.80914299
TL,2015-04-08,phosphorus_total,NA,DET,0.02,0.02,-3.912023005
TL,2015-04-08,alkalinity_total,NA,DET,224,224,5.411646052
TL,2015-04-08,specific_conductance,NA,DET,475,475,6.163314804
TL,2015-04-08,total_dissolved_solids,NA,DET,310,310,5.736572297
TL,2015-04-08,total_suspended_solids,NA,DET,13,13,2.564949357
TL,2015-04-08,calcium,NA,DET,77.9,77.9,4.355425953
TL,2015-04-08,chloride,NA,DET,4,4,1.386294361
TL,2015-04-08,fluoride,NA,DET,0.1,0.1,-2.302585093
TL,2015-04-08,magnesium,NA,DET,15,15,2.708050201
TL,2015-04-08,nitrate,NA,DET,0.2,0.2,-1.609437912
TL,2015-04-08,nitrite,0.01,BDL,0.01,0.005,-5.298317367
TL,2015-04-08,potassium,NA,DET,1,1,0
TL,2015-04-08,sodium,NA,DET,11.1,11.1,2.406945108
TL,2015-04-08,sulfate,NA,DET,33,33,3.496507561
TL,2015-04-08,aluminum_dissolved,NA,DET,2.7,2.7,0.993251773
TL,2015-04-08,antimony_dissolved,NA,DET,0.1,0.1,-2.302585093
TL,2015-04-08,arsenic_dissolved,NA,DET,0.4,0.4,-0.916290732
TL,2015-04-08,barium_dissolved,NA,DET,59.9,59.9,4.092676505
TL,2015-04-08,beryllium_dissolved,0.1,BDL,0.1,0.05,-2.995732274
TL,2015-04-08,cadmium_dissolved,0.05,BDL,0.05,0.025,-3.688879454
TL,2015-04-08,cesium_dissolved,0.1,BDL,0.1,0.05,-2.995732274
